DAY,DEFI_TREASURY_INDEX,NON_DEFI_TREASURY_INDEX,SIRLOIN_INDEX,SOL_NORMALIZED_PRICE,SOL_DAILY_RETURN,WBTC_NORMALIZED_PRICE,WBTC_DAILY_RETURN,WETH_NORMALIZED_PRICE,WETH_DAILY_RETURN
2023-12-06 00:00:00.000,195.217857649,110.34302391,110.881535915,655.996854634,0.05230064945,141.987839481,0.03529360766,115.861951341,0.01475185743
2023-12-05 00:00:00.000,199.615851108,111.707271571,112.486215222,623.392996078,-0.03503379637,137.147412512,0.0229043636,114.177619378,0.001646796518
2023-12-04 00:00:00.000,205.947781121,109.879787758,110.985674877,646.025729951,-0.01684250459,134.076476152,0.04615832277,113.989901205,0.03088441452
2023-12-03 00:00:00.000,203.741587683,107.826190856,109.594290408,657.09281877,0.02765286712,128.160789083,0.01636438838,110.574861351,0.02473776446
2023-12-02 00:00:00.000,201.591661293,106.992758386,108.677993623,639.41126405,0.02373317553,126.097284151,0.01364860755,107.905520013,0.01120840721
2023-12-01 00:00:00.000,189.801067914,104.643242151,106.332198895,624.58781188,0.6036509963,124.399405486,0.01587904079,106.709476744,0.02612347743
2023-11-30 00:00:00.000,186.116051743,103.278541912,105.247407112,389.47864175,0.2695322361,122.454938522,-0.003955431877,103.992822591,-0.004810162023
2023-11-29 00:00:00.000,183.775319878,102.742740109,104.570565184,306.789091828,0.06338808048,122.941224159,0.01416664252,104.495462697,0.006448205886
2023-11-28 00:00:00.000,190.141748118,103.410741322,105.12335006,288.50153341,0.005309136671,121.223888664,0.007227698318,103.825971456,-0.00009781481298
2023-11-27 00:00:00.000,176.362661797,102.449189913,104.470565359,286.977928367,-0.03880941204,120.354006215,-0.01179864097,103.836128168,-0.02010049443
2023-11-26 00:00:00.000,182.688925174,103.898039572,105.682433058,298.565062913,-0.008796563766,121.790974193,-0.00379637714,105.966099154,-0.003226708413
2023-11-25 00:00:00.000,182.920284472,104.433906701,106.253401987,301.214717382,0.01772341989,122.255100662,0.002412943481,106.309127711,-0.003091936027
2023-11-24 00:00:00.000,180.096030745,103.470614156,106.057549107,295.969132176,0.0007120573202,121.960816106,0.008130880369,106.638848208,0.01186655665
2023-11-23 00:00:00.000,177.194465849,102.938577157,105.538220357,295.758535146,0.03766774546,120.977165248,0.01907829591,105.388252539,0.02272496688
2023-11-22 00:00:00.000,167.743996323,102.730310562,105.597342851,285.022384517,-0.001460542363,118.712336171,-0.0135971555,103.0465237,0.008162621638
2023-11-21 00:00:00.000,147.792741652,98.928429742,101.867568779,285.439280678,-0.06355646789,120.348736657,-0.003907425114,102.212204151,-0.009579458294
2023-11-20 00:00:00.000,156.651233405,101.826740769,104.237165259,304.812058485,-0.008901846831,120.820835022,0.01752631166,103.200812026,0.02862376466
2023-11-19 00:00:00.000,153.169632671,101.107071779,103.880621571,307.549819875,0.04105552281,118.739764897,0.004883810813,100.329017831,0.009986789598
2023-11-18 00:00:00.000,148.257977752,99.582715958,102.388746569,295.421150109,-0.01179613438,118.162680719,0.004304216708,99.336960507,-0.007179612684
2023-11-17 00:00:00.000,147.089496917,99.409944958,102.156517859,298.947575886,-0.08795683118,117.656262667,-0.01615795272,100.055318944,-0.03270104493
2023-11-16 00:00:00.000,149.627844551,99.494910642,102.325200896,327.777879498,0.04580784842,119.588569112,0.0181631822,103.437844546,0.00938414119
2023-11-15 00:00:00.000,149.973258737,102.503508801,105.14413048,313.420749322,0.1104188146,117.455208756,0.001256630135,102.476193477,-0.01327843043
2023-11-14 00:00:00.000,141.429909879,100.388068611,102.889435256,282.254537837,-0.03090728954,117.307796244,-0.01860945134,103.855227896,-0.01444310162
2023-11-13 00:00:00.000,147.318839246,102.956315946,105.312836364,291.256486394,-0.02218464749,119.532225375,-0.005736365455,105.377201526,0.006344381572
2023-11-12 00:00:00.000,147.113209024,102.631455001,104.842047029,297.864505446,0.009622082374,120.221861911,0.0005836424914,104.712863166,-0.005351527326
2023-11-11 00:00:00.000,144.728022943,102.377597856,104.900240821,295.02574344,0.1447817095,120.151736252,0.003725977547,105.276251905,-0.01782505345
2023-11-10 00:00:00.000,145.656506444,103.597978936,105.84465047,257.713536999,0.1093890803,119.705715444,0.009295007992,107.186863475,0.07216039449
2023-11-09 00:00:00.000,146.154504402,103.334087427,107.104529506,232.3022117,0.0448682888,118.603296852,0.03245388389,99.972787679,0.03727049754
2023-11-08 00:00:00.000,140.561382739,97.265665995,99.893406813,222.326789118,0.02752083022,114.875152006,0.01298232445,96.380633515,0.001288768118
2023-11-07 00:00:00.000,130.883000136,97.161606328,99.593916495,216.372050648,0.03679167171,113.402918525,-0.0006786805022,96.256581102,-0.003314864018
2023-11-06 00:00:00.000,123.212296465,97.571102787,99.972317019,208.693854852,-0.02314531458,113.479935144,-0.0018397624,96.576719795,0.005082550449
2023-11-05 00:00:00.000,116.520559826,97.510370149,99.845874124,213.638587157,-0.000402190452,113.689096068,0.00834079331,96.08834593,0.02359949853
2023-11-04 00:00:00.000,115.73301169,95.732293571,98.620661961,213.724545129,0.05898927973,112.74868261,0.006897761216,93.87299043,0.01976564892
2023-11-03 00:00:00.000,110.107720306,94.685228507,97.865938825,201.819366088,-0.06565230459,111.976296853,-0.01742220406,92.053493397,-0.01359475654
2023-11-02 00:00:00.000,105.622669628,93.432412795,96.793813013,216.000282422,0.04475702087,113.961761924,0.01618560067,93.322185792,0.007214935917
2023-11-01 00:00:00.000,106.571656138,94.882971534,98.231192279,206.746906799,0.1015716417,112.146601811,0.006104531002,92.653695318,0.005880324146
2023-10-31 00:00:00.000,99.035288889,93.687235032,97.201523675,187.683577689,0.06616423398,111.466153223,-0.001433162459,92.112046626,0.0005898132998
2023-10-30 00:00:00.000,97.296357754,93.850295838,97.027582331,176.036272563,0.05655702296,111.626131604,0.003677480021,92.057749741,0.00789385158
