DAY,COMPOSITION_ETH,COMPOSITION_USDC,COMPOSITION_WETH,COMPOSITION_DPI,COMPOSITION_PAXG,COMPOSITION_RETH,COMPOSITION_SOL,COMPOSITION_WBTC,COMPOSITION_WSTETH
2023-05-02,0.1243549424297664,0.04729222538836098,0.0,0.17069102036159325,0.17923768403080173,0.17343886909643197,0.0,0.13112715351826876,0.17385810517477698
2023-05-03,0.12833696129899794,0.04747790947714331,0.0,0.1689910973906415,0.18121857942363406,0.17237340566002632,0.0,0.12892675007090318,0.17267529667865358
2023-05-04,0.0,0.05277328938245773,0.35062822699546814,0.0,0.18862880766391754,0.07331588864326477,0.0,0.0,0.33465376496315
2023-05-05,0.0,0.05279673113853394,0.34533881309570746,0.0,0.19019638307123418,0.07399053611327569,0.0,0.0,0.3376775365812487
2023-05-06,0.0,0.050779240204694764,0.35328054000193887,0.0,0.18298050952470962,0.0742639549821081,0.0,0.0,0.3386957552865487
2023-05-07,0.0,0.051660688162561585,0.34219058257399165,0.0,0.18369746884054367,0.0759314723532999,0.0,0.0,0.3465197880696032
2023-05-08,0.0,0.05234638828907842,0.34889680489038705,0.0,0.18616745676610125,0.07415161981823797,0.0,0.0,0.3384377302361952
2023-05-09,0.0,0.05313865880725138,0.34178556041103164,0.0,0.18995121368961687,0.0746265503542607,0.0,0.0,0.34049801673783936
2023-05-10,0.0,0.05386015409386073,0.34589526703882184,0.0,0.19323986119743353,0.0731024630853569,0.0,0.0,0.333902254584527
2023-05-11,0.0,0.0,0.1312437802553177,0.0868631973862648,0.0,0.27612894773483276,0.06498368084430695,0.19253981113433838,0.24824056029319763
2023-05-12,0.0,0.0,0.13014851949886935,0.08760962357383589,0.0,0.2761274295747698,0.06584633156341357,0.19187399358748078,0.24839410220163055
2023-05-13,0.0,0.0,0.1332928958468128,0.08680405477469946,0.0,0.27509445504105723,0.06688827589376294,0.19082775541705957,0.2470925630266079
2023-05-14,0.0,0.0,0.13295231172900226,0.08625570289257344,0.0,0.27541498934624525,0.06778145652582877,0.1900424576703118,0.24755308183603864
2023-05-15,0.0,0.0,0.1319788855223774,0.08582798290217439,0.0,0.2759057236272396,0.06784710157777225,0.19069271127651766,0.24774759509391867
2023-05-16,0.0,0.0,0.13213787996734444,0.08848172104259654,0.0,0.27429067502752935,0.06795228292839282,0.19053949791366764,0.24659794312046926
2023-05-17,0.0,0.0,0.13253960217312727,0.08878587645048196,0.0,0.2745480997848353,0.0673853840582647,0.19006752472233776,0.24667351281095298
2023-05-18,0.0,0.21364882588386536,0.0,0.118193618953228,0.27213090658187866,0.03713236004114151,0.001281605800613761,0.14363247156143188,0.21398021280765533
2023-05-19,0.0,0.2131967341979194,0.0,0.1210754129387718,0.27064031955412204,0.03698807848604336,0.0012683181723610747,0.1435449104776405,0.2132862261731419
2023-05-20,0.0,0.21470270070968614,0.0,0.11827656597439479,0.27271327040866283,0.03708937080674521,0.0012414635778795814,0.14220819060045098,0.21376843792218053
2023-05-21,0.0,0.21435366452118682,0.0,0.1184082920449506,0.2722301261489244,0.037127750945666664,0.0012369671139076475,0.14262232404087336,0.21402087518449067
